 1 Layers    1.032987e-11    3.413783e-17    7.275958e-12    2.404535e-17
 2 Layers    2.604797e-11    1.615661e-16    2.546585e-11    1.579554e-16
 3 Layers    4.857090e-11    1.419062e-16    2.910383e-11    8.503062e-17
 4 Layers    2.752653e-11    1.190482e-16    1.637090e-11    7.080178e-17
 5 Layers    5.429824e-11    1.425205e-16    3.274181e-11    8.593981e-17
 6 Layers    2.239646e-11    7.836148e-17    1.455192e-11    5.091472e-17
 7 Layers    9.248316e-11    2.220359e-16    5.820766e-11    1.397464e-16
 8 Layers    5.717861e-11    1.723225e-16    2.910383e-11    8.771191e-17
 9 Layers    5.654310e-11    1.258228e-16    3.274181e-11    7.285887e-17
10 Layers    9.590825e-11    2.576299e-16    5.820766e-11    1.563581e-16
11 Layers    9.502862e-11    1.979517e-16    5.820766e-11    1.212509e-16
12 Layers    9.311242e-11    2.277747e-16    4.729372e-11    1.156915e-16
13 Layers    9.238578e-11    1.815350e-16    5.820766e-11    1.143761e-16
14 Layers    6.382319e-11    1.442882e-16    2.910383e-11    6.579645e-17
15 Layers    9.948206e-11    1.855196e-16    5.820766e-11    1.085488e-16
16 Layers    9.797905e-11    2.069185e-16    5.820766e-11    1.229267e-16
17 Layers    9.861375e-11    1.753948e-16    5.820766e-11    1.035284e-16
18 Layers    1.074023e-10    2.136178e-16    5.820766e-11    1.157722e-16
19 Layers    8.383709e-11    1.427991e-16    3.637979e-11    6.196542e-17
20 Layers    1.326637e-10    2.501040e-16    7.275958e-11    1.371699e-16
