r         sigmar      sigmatheta   sigmaz  taurtheta    taurz    tauthetaz
 0.00200   0.000002 -11330170294.102268 -118410005318.945221  -0.000000  -0.000000 -120458567002.832596 
 0.00201 -67321144.412603 -11290218734.664341 -116736150486.159302   0.000000   0.000000 -119528570582.485550 
 0.00202 -133215127.344959 -11251701453.259047 -115084400542.786774   0.000000   0.000000 -118613816536.547531 
 0.00204 -197723825.399773 -11214571183.637409 -113454206447.862885   0.000000   0.000000 -117713929083.115448 
 0.00205 -260887619.220098 -11178782318.013695 -111845035813.798401   0.000000   0.000000 -116828543788.188904 
 0.00206 -322745455.119943 -11144290840.546534 -110256372308.231812   0.000000   0.000000 -115957307159.598663 
 0.00207 -383334903.845463 -11111054263.844070 -108687715080.690994   0.000000   0.000000 -115099876257.720108 
 0.00208 -442692216.615723 -11079031568.339922 -107138578212.898697   0.000000   0.000000 -114255918322.186234 
 0.00210 -500852378.583342 -11048183144.394106 -105608490191.616318   0.000000   0.000000 -113425110413.853897 
 0.00211 -557849159.847283 -11018470736.982542 -104096993402.981125   0.000000   0.000000 -112607139071.318558 
 0.00212 -613715164.142864 -10989857392.845009 -102603643647.341614   0.000000   0.000000 -111801699981.306229 
 0.00213 -668481875.326678 -10962307409.969921 -101128009673.651199   0.000000   0.000000 -111008497662.308258 
 0.00214 -722179701.767804 -10935786289.299934 -99669672732.527191   0.000000   0.000000 -110227245160.855698 
 0.00216 -774838018.750294 -10910260688.549339 -98228226147.125687   0.000000   0.000001 -109457663759.860947 
 0.00217 -826485208.986360 -10885698378.029985 -96803274901.029434   0.000000   0.000001 -108699482698.483414 
 0.00218 -877148701.333891 -10862068198.387672 -95394435242.383057   0.000000   0.000001 -107952438903.003067 
 0.00219 -926855007.807140 -10839340020.157299 -94001334303.551147   0.000000   0.000001 -107216276728.211823 
 0.00220 -975629758.964347 -10817484705.048342 -92623609735.608658   0.000000   0.000001 -106490747708.856873 
 0.00222 -1023497737.751577 -10796474068.878517 -91260909357.008255   0.000000   0.000001 -105775610320.693146 
 0.00223 -1070482911.877953 -10776280846.076880 -89912890815.801285   0.000000   0.000001 -105070629750.723221 
 0.00224 -1116608464.793174 -10756878655.682064 -88579221264.821426   0.000000   0.000001 -104375577676.225998 
 0.00225 -1161896825.334591 -10738241968.765160 -87259577049.264557   0.000000   0.000001 -103690232052.190704 
 0.00226 -1206369696.107557 -10720346077.210642 -85953643406.131622   0.000000   0.000001 -103014376906.796219 
 0.00228 -1250048080.659301 -10703167063.791771 -84661114175.021759   0.000000   0.000001 -102347802144.588699 
 0.00229 -1292952309.503577 -10686681773.480749 -83381691519.791122   0.000000   0.000001 -101690303357.030090 
 0.00230 -1335102065.050063 -10670867785.936333 -82115085660.614609   0.000000   0.000001 -101041681640.104370 
 0.00231 -1376516405.490134 -10655703389.115068 -80861014616.009552   0.000000   0.000001 -100401743418.683304 
 0.00232 -1417213787.687422 -10641167553.954762 -79619203954.401855   0.000000   0.000001 -99770300277.368225 
 0.00234 -1457212089.119630 -10627239910.081450 -78389386554.834015   0.000000   0.000001 -99147168797.536118 
 0.00235 -1496528628.915171 -10613900722.493607 -77171302376.434891   0.000000   0.000001 -98532170400.333649 
 0.00236 -1535180188.026434 -10601130869.179655 -75964698236.286240   0.000000   0.000001 -97925131195.371338 
 0.00237 -1573183028.579113 -10588911819.626863 -74769327595.340118   0.000000   0.000001 -97325881834.884399 
 0.00238 -1610552912.435020 -10577225614.182287 -73584950352.056824   0.000000   0.000001 -96734257373.135986 
 0.00240 -1647305119.004108 -10566054844.227472 -72411332643.446411   0.000000   0.000001 -96150097130.848938 
 0.00241 -1683454462.339489 -10555382633.131424 -71248246653.214355   0.000000   0.000001 -95573244564.462784 
 0.00242 -1719015307.547653 -10545192617.947664 -70095470426.722366   0.000000   0.000001 -95003547140.020218 
 0.00243 -1754001586.544430 -10535468931.822611 -68952787692.491196   0.000000   0.000001 -94440856211.498627 
 0.00244 -1788426813.185675 -10526196187.084690 -67819987689.982552   0.000000   0.000001 -93885026903.407761 
 0.00246 -1822304097.800580 -10517359458.984398 -66696865003.409378   0.000000   0.000001 -93335917997.484482 
 0.00247 -1855646161.153582 -10508944270.057734 -65583219401.336067   0.000000   0.000001 -92793391823.322449 
 0.00248 -1888465347.860165 -10500936575.085838 -64478855681.840378   0.000000   0.000001 -92257314152.782166 
 0.00249 -1920773639.280157 -10493322746.625687 -63383583523.016220   0.000000   0.000001 -91727554098.032227 
 0.00250 -1952582665.911342 -10486089561.087526 -62297217338.611244   0.000000   0.000001 -91203984013.081192 
 0.00252 -1983903719.304960 -10479224185.336058 -61219576138.597244   0.000000   0.000001 -90686479398.664001 
 0.00253 -2014747763.523484 -10472714163.793093 -60150483394.483620   0.000000   0.000001 -90174918810.353745 
 0.00254 -2045125446.160515 -10466547406.021067 -59089766909.189819   0.000000   0.000001 -89669183769.774200 
 0.00255 -2075047108.941231 -10460712174.766975 -58037258691.302971   0.000000   0.000001 -89169158678.795227 
 0.00256 -2104522797.921366 -10455197074.448084 -56992794833.552231   0.000000   0.000001 -88674730736.596588 
 0.00258 -2133562273.301466 -10449991040.060698 -55956215395.339996   0.000000   0.000001 -88185789859.492126 
 0.00259 -2162175018.872741 -10445083326.495029 -54927364289.176407   0.000000   0.000001 -87702228603.409714 
 0.00260 -2190370251.109906 -10440463498.239344 -53906089170.870064   0.000000   0.000001 -87223942088.927475 
 0.00261 -2218156927.925678 -10436121419.457619 -52892241333.334030   0.000000   0.000001 -86750827928.770355 
