C11	 1.05E-04	 1.05E-04	 1.04E-04
C12	-6.46E-06	-6.69E-06	-6.09E-06
C13 	-8.28E-06	-8.05E-06	-8.45E-06
C14	 1.05E-06	-1.61E-06	 1.61E-06
C22	 1.26E-04	 1.36E-04	 1.02E-04
C23	-2.46E-05	-4.51E-05	-3.11E-05
C24	-2.83E-05	 2.26E-05	 2.45E-05
C33	 4.18E-05	 7.32E-05	 5.32E-05
C34	 7.71E-05	-9.74E-05	 4.74E-05
C44	 3.39E-04	 2.57E-04	 3.57E-04
C55	 4.83E-04	 4.55E-04	 4.75E-04
C56	-6.25E-05	 9.58E-05	-5.58E-05
C66	 2.67E-04	 2.95E-04	 2.82E-04
