r         ur            utheta            w
3273.27327 -0.0000099197 0.0000000000 -0.0000000000 
3285.28529 -0.0000099824 0.0000000000 -0.0000000000 
3297.29730 -0.0000100451 0.0000000000 -0.0000000000 
3309.30931 -0.0000101078 0.0000000000 -0.0000000000 
3321.32132 -0.0000101705 0.0000000000 -0.0000000000 
3333.33333 -0.0000102332 0.0000000000 -0.0000000000 
3345.34535 -0.0000102959 0.0000000000 -0.0000000000 
3357.35736 -0.0000103585 0.0000000000 -0.0000000000 
3369.36937 -0.0000104212 0.0000000000 -0.0000000000 
3381.38138 -0.0000104838 0.0000000000 -0.0000000000 
3393.39339 -0.0000105464 0.0000000000 -0.0000000000 
3405.40541 -0.0000106089 0.0000000000 -0.0000000000 
3417.41742 -0.0000106714 0.0000000000 -0.0000000000 
3429.42943 -0.0000107339 0.0000000000 -0.0000000000 
3441.44144 -0.0000107963 0.0000000000 -0.0000000000 
3453.45345 -0.0000108587 0.0000000000 -0.0000000000 
3465.46547 -0.0000109210 0.0000000000 -0.0000000000 
3477.47748 -0.0000109832 0.0000000000 -0.0000000000 
3489.48949 -0.0000110454 0.0000000000 -0.0000000000 
3501.50150 -0.0000111076 0.0000000000 -0.0000000000 
3513.51351 -0.0000111696 0.0000000000 -0.0000000000 
3525.52553 -0.0000112316 0.0000000000 -0.0000000000 
3537.53754 -0.0000112935 0.0000000000 -0.0000000000 
3549.54955 -0.0000113553 0.0000000000 -0.0000000000 
3561.56156 -0.0000114170 0.0000000000 -0.0000000000 
3573.57357 -0.0000114786 0.0000000000 -0.0000000000 
3585.58559 -0.0000115401 0.0000000000 -0.0000000000 
3597.59760 -0.0000116015 0.0000000000 -0.0000000000 
3609.60961 -0.0000116628 0.0000000000 -0.0000000000 
3621.62162 -0.0000117240 0.0000000000 -0.0000000000 
3633.63363 -0.0000117851 0.0000000000 -0.0000000000 
3645.64565 -0.0000118460 0.0000000000 -0.0000000000 
3657.65766 -0.0000119068 0.0000000000 -0.0000000000 
3669.66967 -0.0000119675 0.0000000000 -0.0000000000 
3681.68168 -0.0000120280 0.0000000000 -0.0000000000 
3693.69369 -0.0000120884 0.0000000000 -0.0000000000 
3705.70571 -0.0000121487 0.0000000000 -0.0000000000 
3717.71772 -0.0000122088 0.0000000000 -0.0000000000 
3729.72973 -0.0000122687 0.0000000000 -0.0000000000 
3741.74174 -0.0000123284 0.0000000000 -0.0000000000 
3753.75375 -0.0000123880 0.0000000000 -0.0000000000 
3765.76577 -0.0000124474 0.0000000000 -0.0000000000 
3777.77778 -0.0000125067 0.0000000000 -0.0000000000 
3789.78979 -0.0000125657 0.0000000000 -0.0000000000 
3801.80180 -0.0000126245 0.0000000000 -0.0000000000 
3813.81381 -0.0000126832 0.0000000000 -0.0000000000 
3825.82583 -0.0000127416 0.0000000000 -0.0000000000 
3837.83784 -0.0000127999 0.0000000000 -0.0000000000 
3849.84985 -0.0000128579 0.0000000000 -0.0000000000 
3861.86186 -0.0000129157 0.0000000000 -0.0000000000 
3873.87387 -0.0000129733 -0.0000000000 -0.0000000000 
3885.88589 -0.0000130306 -0.0000000000 -0.0000000000 
3897.89790 -0.0000130877 -0.0000000000 -0.0000000000 
3909.90991 -0.0000131445 -0.0000000000 -0.0000000000 
3921.92192 -0.0000132011 -0.0000000000 -0.0000000000 
3933.93393 -0.0000132575 -0.0000000000 -0.0000000000 
3945.94595 -0.0000133136 -0.0000000000 -0.0000000000 
3957.95796 -0.0000133694 -0.0000000000 -0.0000000000 
3969.96997 -0.0000134249 -0.0000000000 -0.0000000000 
