 1 Layers    1.032987e-11    3.413783e-17    7.275958e-12    2.404535e-17
 2 Layers    2.508953e-11    1.154745e-16    1.455192e-11    6.697514e-17
 3 Layers    5.462271e-11    1.356131e-16    4.001777e-11    9.935309e-17
 4 Layers    2.669100e-11    7.608135e-17    1.455192e-11    4.147950e-17
 5 Layers    3.388709e-11    6.923556e-17    1.455192e-11    2.973139e-17
 6 Layers    6.673486e-11    1.488436e-16    2.910383e-11    6.491238e-17
 7 Layers    5.908217e-11    1.047993e-16    2.910383e-11    5.162404e-17
 8 Layers    7.349062e-11    1.390111e-16    2.910383e-11    5.505130e-17
 9 Layers    1.161067e-10    1.844076e-16    6.912160e-11    1.097830e-16
10 Layers    7.035811e-11    1.175637e-16    2.910383e-11    4.863058e-17
