r         ur            utheta            w
3309.30931 -0.0000290149 0.0000000000 0.0000000000 
3321.32132 -0.0000292022 0.0000000000 0.0000000000 
3333.33333 -0.0000293903 0.0000000000 0.0000000000 
3345.34535 -0.0000295793 0.0000000000 0.0000000000 
3357.35736 -0.0000297692 0.0000000000 0.0000000000 
3369.36937 -0.0000299600 0.0000000000 0.0000000000 
3381.38138 -0.0000301516 0.0000000000 0.0000000000 
3393.39339 -0.0000303441 0.0000000000 0.0000000000 
3405.40541 -0.0000305374 0.0000000000 0.0000000000 
3417.41742 -0.0000307316 0.0000000000 0.0000000000 
3429.42943 -0.0000309266 0.0000000000 0.0000000000 
3441.44144 -0.0000311225 0.0000000000 0.0000000000 
3453.45345 -0.0000313193 0.0000000000 0.0000000000 
3465.46547 -0.0000315169 0.0000000000 0.0000000000 
3477.47748 -0.0000317153 0.0000000000 0.0000000000 
3489.48949 -0.0000319146 0.0000000000 0.0000000000 
3501.50150 -0.0000321148 0.0000000000 0.0000000000 
3513.51351 -0.0000323158 0.0000000000 0.0000000000 
3525.52553 -0.0000325176 0.0000000000 0.0000000000 
3537.53754 -0.0000327202 0.0000000000 0.0000000000 
3549.54955 -0.0000329237 0.0000000000 0.0000000000 
3561.56156 -0.0000331281 0.0000000000 0.0000000000 
3573.57357 -0.0000333332 0.0000000000 0.0000000000 
3585.58559 -0.0000335392 0.0000000000 0.0000000000 
3597.59760 -0.0000337460 0.0000000000 0.0000000000 
3609.60961 -0.0000339537 0.0000000000 0.0000000000 
3621.62162 -0.0000341622 0.0000000000 0.0000000000 
3633.63363 -0.0000343715 0.0000000000 0.0000000000 
3645.64565 -0.0000345816 0.0000000000 0.0000000000 
3657.65766 -0.0000347925 0.0000000000 0.0000000000 
3669.66967 -0.0000350043 0.0000000000 0.0000000000 
3681.68168 -0.0000352169 0.0000000000 0.0000000000 
3693.69369 -0.0000354303 0.0000000000 0.0000000000 
3705.70571 -0.0000356445 0.0000000000 0.0000000000 
3717.71772 -0.0000358596 0.0000000000 0.0000000000 
3729.72973 -0.0000360754 0.0000000000 0.0000000000 
3741.74174 -0.0000362920 0.0000000000 0.0000000000 
3753.75375 -0.0000365095 0.0000000000 0.0000000000 
3765.76577 -0.0000367278 0.0000000000 0.0000000000 
3777.77778 -0.0000369469 0.0000000000 0.0000000000 
3789.78979 -0.0000371667 0.0000000000 0.0000000000 
3801.80180 -0.0000373874 0.0000000000 0.0000000000 
3813.81381 -0.0000376089 0.0000000000 0.0000000000 
3825.82583 -0.0000378312 0.0000000000 0.0000000000 
3837.83784 -0.0000380543 0.0000000000 0.0000000000 
3849.84985 -0.0000382782 0.0000000000 0.0000000000 
3861.86186 -0.0000385029 0.0000000000 0.0000000000 
3873.87387 -0.0000387284 0.0000000000 0.0000000000 
3885.88589 -0.0000389546 0.0000000000 0.0000000000 
3897.89790 -0.0000391817 0.0000000000 0.0000000000 
3909.90991 -0.0000394096 0.0000000000 0.0000000000 
3921.92192 -0.0000396382 0.0000000000 0.0000000000 
3933.93393 -0.0000398677 0.0000000000 0.0000000000 
3945.94595 -0.0000400979 0.0000000000 0.0000000000 
3957.95796 -0.0000403289 0.0000000000 0.0000000000 
3969.96997 -0.0000405607 0.0000000000 0.0000000000 
3981.98198 -0.0000407933 0.0000000000 0.0000000000 
3993.99399 -0.0000410267 0.0000000000 0.0000000000 
4006.00601 -0.0000412609 0.0000000000 0.0000000000 
4018.01802 -0.0000414958 0.0000000000 0.0000000000 
4030.03003 -0.0000417315 0.0000000000 0.0000000000 
4042.04204 -0.0000419680 0.0000000000 0.0000000000 
4054.05405 -0.0000422053 0.0000000000 0.0000000000 
4066.06607 -0.0000424434 0.0000000000 0.0000000000 
4078.07808 -0.0000426822 0.0000000000 0.0000000000 
4090.09009 -0.0000429218 0.0000000000 0.0000000000 
4102.10210 -0.0000431622 0.0000000000 0.0000000000 
4114.11411 -0.0000434034 0.0000000000 0.0000000000 
4126.12613 -0.0000436453 0.0000000000 0.0000000000 
4138.13814 -0.0000438880 0.0000000000 0.0000000000 
4150.15015 -0.0000441315 0.0000000000 0.0000000000 
4162.16216 -0.0000443757 0.0000000000 0.0000000000 
4174.17417 -0.0000446207 0.0000000000 0.0000000000 
4186.18619 -0.0000448665 0.0000000000 0.0000000000 
4198.19820 -0.0000451131 0.0000000000 0.0000000000 
4210.21021 -0.0000453604 0.0000000000 0.0000000000 
4222.22222 -0.0000456085 0.0000000000 0.0000000000 
4234.23423 -0.0000458573 0.0000000000 0.0000000000 
4246.24625 -0.0000461069 0.0000000000 0.0000000000 
4258.25826 -0.0000463573 0.0000000000 0.0000000000 
4270.27027 -0.0000466084 0.0000000000 0.0000000000 
4282.28228 -0.0000468603 0.0000000000 0.0000000000 
4294.29429 -0.0000471130 0.0000000000 0.0000000000 
4306.30631 -0.0000473664 0.0000000000 0.0000000000 
